entrezgene_id	external_gene_name	gene_biotype	chromosome_name	start_position	end_position
124907012		lncRNA	KI270751.1	2579	73732
124908455		lncRNA	KI270751.1	2579	73732
124905564		protein_coding	KI270711.1	4612	29626
124905334	U6	snRNA	KI270744.1	51009	51114
NA		protein_coding	GL000009.2	56140	58376
NA		lncRNA	KI270746.1	28192	48455
NA		lncRNA	KI270746.1	36276	40556
NA		lncRNA	KI270746.1	10052	16108
NA		lncRNA	KI270751.1	34096	71851
100288966		protein_coding	GL000213.1	108007	139659
NA	5S_rRNA	rRNA	KI270442.1	380608	380726
NA		pseudogene	KI270734.1	59711	60316
NA		lncRNA	KI270712.1	105820	123821
NA		lncRNA	KI270751.1	133801	139253
NA		lncRNA	KI270722.1	183300	187489
NA		lncRNA	KI270722.1	2027	7875
NA		protein_coding	GL000194.1	53590	115018
NA		lncRNA	KI270722.1	25886	38622
NA		lncRNA	KI270712.1	1378	3207
NA		protein_coding	KI270731.1	10598	13001
101928669		lncRNA	GL000221.1	198	80044
124907012		lncRNA	GL000221.1	198	80044
NA		misc_RNA	GL000220.1	105287	105376
NA		lncRNA	KI270719.1	122831	170003
NA		lncRNA	KI270719.1	11497	89582
102724750		lncRNA	KI270719.1	93169	106180
124907407		lncRNA	KI270719.1	93169	106180
124907156	5_8S_rRNA	rRNA	KI270442.1	217250	217401
124907485	5_8S_rRNA	rRNA	KI270442.1	217250	217401
124908250	5_8S_rRNA	rRNA	KI270442.1	217250	217401
100008587	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907114	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907115	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907116	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907117	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907118	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907119	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907120	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907121	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907122	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907123	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907124	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907125	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907126	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907127	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907128	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907129	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907130	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907131	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907132	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907133	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907134	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907135	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907136	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907137	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907138	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907139	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907140	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907141	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907142	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907143	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907144	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907145	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907146	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907147	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907148	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907149	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907150	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907151	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907152	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907153	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907154	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907155	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907160	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907172	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907183	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907194	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907205	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907216	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907227	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907238	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907248	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907258	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907269	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907280	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907291	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907302	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907313	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907324	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907327	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907328	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907329	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907330	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907331	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907332	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907333	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907334	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907335	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907336	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907337	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907338	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907339	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907340	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907341	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907342	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907343	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907439	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907440	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907450	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907458	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907467	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907475	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907476	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907477	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907478	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907479	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907480	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907481	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907482	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907483	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907484	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907572	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907573	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907574	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907575	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907576	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907577	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907578	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907579	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907580	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907581	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907584	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907585	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907586	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907587	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907588	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907589	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907590	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907591	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907592	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907593	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907594	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907595	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907596	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907597	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907598	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907600	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907611	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907622	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907633	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907644	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907655	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907662	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907673	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907684	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907694	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907705	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907709	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907710	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907711	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907712	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907713	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907714	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907715	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907716	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907717	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907718	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907719	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907720	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124907721	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908237	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908238	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908239	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908240	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908241	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908242	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908243	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908244	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908245	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908246	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908247	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908248	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908249	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908257	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908268	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908278	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908289	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908300	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908310	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908316	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908327	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908336	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908347	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908358	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908368	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908369	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908370	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908371	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908372	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908373	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908374	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908375	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908376	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908377	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908378	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908379	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908380	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908381	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908382	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908383	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908384	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908385	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908386	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908387	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908388	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908389	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908390	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908391	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908392	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908393	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908474	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908494	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908504	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908512	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908513	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908514	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908515	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908516	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908517	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908518	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908519	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908520	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908521	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908522	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908523	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908524	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908525	RNA5-8SN5	rRNA	GL000220.1	112025	112177
124908527	RNA5-8SN5	rRNA	GL000220.1	112025	112177
NA		lncRNA	KI270744.1	90023	112250
NA		pseudogene	KI270731.1	26533	27138
NA		lncRNA	KI270442.1	384845	385228
NA		lncRNA	GL000009.2	35394	38152
124907114	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907115	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907116	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907117	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907118	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907119	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907120	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907121	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907122	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907123	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907124	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907125	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907126	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907127	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907128	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907129	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907130	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907131	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907132	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907133	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907134	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907135	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907136	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907137	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907138	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907139	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907140	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907141	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907142	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907143	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907144	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907145	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907146	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907147	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907148	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907149	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907150	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907151	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907152	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907153	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907154	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907155	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907160	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907172	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907183	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907194	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907205	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907216	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907227	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907238	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907248	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907258	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907269	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907280	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907291	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907302	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907313	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907324	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907327	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907328	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907329	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907330	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907331	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907332	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907333	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907334	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907335	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907336	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907337	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907338	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907339	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907340	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907341	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907342	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907343	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907439	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907440	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907450	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907458	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907467	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907475	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907476	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907477	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907478	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907479	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907480	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907481	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907482	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907483	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907484	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907572	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907573	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907574	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907575	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907576	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907577	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907578	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907579	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907580	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907581	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907584	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907585	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907586	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907587	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907588	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907589	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907590	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907591	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907592	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907593	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907594	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907595	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907596	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907597	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907598	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907600	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907611	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907622	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907633	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907644	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907655	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907662	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907673	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907684	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907694	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907705	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907709	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907710	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907711	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907712	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907713	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907714	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907715	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907716	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907717	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907718	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907719	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907720	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124907721	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908237	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908238	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908239	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908240	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908241	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908242	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908243	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908244	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908245	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908246	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908247	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908248	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908249	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908257	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908268	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908278	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908289	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908300	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908310	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908316	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908327	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908336	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908347	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908358	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908368	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908369	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908370	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908371	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908372	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908373	5_8S_rRNA	rRNA	GL000220.1	155997	156149
124908374	5_8S_rRNA	rRNA	GL000220.1	155997	156149
